SEANCE_DT, POINT_DT, ORBIT, WKT, HEIGHT, POINT_TYPE
"2019-03-12 06:14:24", "2019-03-12 06:14:24", 5793, "POINT(27.5994 51.8163)", -33.58, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:24", 5793, "POINT(-6.0688 60.0136)", -33.58, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:28", 5793, "POINT(27.7114 51.9682)", -32.59, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:28", 5793, "POINT(-6.2699 60.2185)", -32.59, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:30", 5793, "POINT(27.7822 52.0638)", -31.96, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:30", 5793, "POINT(-6.4005 60.3474)", -31.96, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:32", 5793, "POINT(27.8538 52.1597)", -31.33, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:32", 5793, "POINT(-6.5350 60.4770)", -31.33, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:34", 5793, "POINT(27.9254 52.2552)", -30.69, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:34", 5793, "POINT(-6.6722 60.6061)", -30.69, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:36", 5793, "POINT(27.9977 52.3510)", -30.06, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:36", 5793, "POINT(-6.8136 60.7358)", -30.06, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:39", 5793, "POINT(28.0686 52.4445)", -29.43, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:39", 5793, "POINT(-6.9552 60.8626)", -29.43, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:41", 5793, "POINT(28.1415 52.5402)", -28.79, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:41", 5793, "POINT(-7.1039 60.9924)", -28.79, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:43", 5793, "POINT(28.2145 52.6354)", -28.14, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:43", 5793, "POINT(-7.2558 61.1216)", -28.14, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:45", 5793, "POINT(28.2881 52.7310)", -27.49, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:45", 5793, "POINT(-7.4125 61.2514)", -27.49, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:47", 5793, "POINT(28.3618 52.8261)", -26.85, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:47", 5793, "POINT(-7.5726 61.3807)", -26.85, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:49", 5793, "POINT(28.4362 52.9216)", -26.19, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:49", 5793, "POINT(-7.7379 61.5106)", -26.19, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:51", 5793, "POINT(28.5105 53.0165)", -25.54, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:51", 5793, "POINT(-7.9069 61.6399)", -25.54, "OCCULTATION"
"2019-03-12 06:14:24", "2019-03-12 06:14:54", 5793, "POINT(28.5856 53.1118)", -24.88, "TRACK"
"2019-03-12 06:14:24", "2019-03-12 06:14:54", 5793, "POINT(-8.0816 61.7698)", -24.88, "OCCULTATION"
